dates,values
2020.01.01,-1.0
2020.01.02,0.0
2020.01.03,-0.33
2020.01.04,1.0
2020.01.05,1.0
2020.01.06,-0.5
2020.01.07,0.75
2020.01.08,0.33
2020.01.09,0.0
2020.01.10,-1.0
2020.01.11,0.0
2020.01.12,-1.0
2020.01.13,-0.5
2020.01.14,-0.5
2020.01.15,0.33
2020.01.16,1.0
2020.01.17,0.0
2020.01.18,-1.0
2020.01.19,-0.5
2020.01.20,1.0
2020.01.21,1.0
2020.01.22,0.0
2020.01.23,0.67
2020.01.24,0.17
2020.01.25,0.5
2020.01.26,-1.0
2020.01.27,0.67
2020.01.28,0.5
2020.01.29,0.0
2020.01.30,1.0
2020.01.31,-0.33
2020.02.01,0.5
2020.02.02,1.0
2020.02.03,0.67
2020.02.04,-0.5
2020.02.05,-1.0
2020.02.06,0.0
2020.02.07,0.5
2020.02.08,0.0
2020.02.09,-0.33
2020.02.10,-0.5
2020.02.11,0.0
2020.02.12,0.0
2020.02.13,1.0
2020.02.14,1.0
2020.02.15,0.0
2020.02.16,1.0
2020.02.17,0.0
2020.02.18,0.5
2020.02.19,0.67
2020.02.20,1.0
2020.02.21,0.25
2020.02.22,1.0
2020.02.23,1.0
2020.02.24,0.67
2020.02.25,0.5
2020.02.26,1.0
2020.02.27,1.0
2020.02.28,0.0
2020.02.29,1.0
2020.03.01,1.0
2020.03.02,-0.33
2020.03.03,-0.67
2020.03.04,-0.67
2020.03.05,1.0
2020.03.06,1.0
2020.03.07,-1.0
2020.03.08,-1.0
2020.03.09,-0.17
2020.03.10,0.0
2020.03.11,0.75
2020.03.12,-1.0
2020.03.13,-0.71
2020.03.14,0.5
2020.03.15,-1.0
2020.03.16,-1.0
2020.03.17,-0.5
2020.03.18,0.0
2020.03.19,-0.5
2020.03.20,0.75
2020.03.21,1.0
2020.03.22,-1.0
2020.03.23,-0.33
2020.03.24,0.0
2020.03.25,0.0
2020.03.26,-0.2
2020.03.27,-0.5
2020.03.28,-1.0
2020.03.29,-1.0
2020.03.30,-0.8
2020.03.31,-1.0
2020.04.01,-1.0
2020.04.02,0.0
2020.04.03,1.0
2020.04.04,-0.33
2020.04.05,1.0
2020.04.06,-0.67
2020.04.07,-0.5
2020.04.08,0.0
2020.04.09,0.33
2020.04.10,0.5
2020.04.11,-1.0
2020.04.12,-1.0
2020.04.13,-0.5
2020.04.14,0.0
2020.04.15,1.0
2020.04.16,0.5
2020.04.17,-0.33
2020.04.18,0.5
2020.04.19,1.0
2020.04.20,0.67
2020.04.21,0.8
2020.04.22,-1.0
2020.04.23,1.0
2020.04.24,1.0
2020.04.25,0.0
2020.04.26,0.0
2020.04.27,1.0
2020.04.28,-1.0
2020.04.29,-1.0
2020.04.30,-0.67
2020.05.01,0.0
2020.05.02,-1.0
2020.05.03,1.0
2020.05.04,0.33
2020.05.05,0.33
2020.05.06,1.0
2020.05.07,-0.33
2020.05.08,0.0
2020.05.09,-1.0
2020.05.10,0.0
2020.05.11,0.2
2020.05.12,0.75
2020.05.13,1.0
2020.05.14,0.75
2020.05.15,0.67
2020.05.16,1.0
2020.05.17,0.33
2020.05.18,1.0
2020.05.19,0.2
2020.05.20,0.5
2020.05.21,0.67
2020.05.22,-0.67
2020.05.23,-1.0
2020.05.24,-1.0
2020.05.25,0.0
2020.05.26,0.5
2020.05.27,0.0
2020.05.28,0.33
2020.05.29,1.0
2020.05.30,1.0
2020.05.31,0.67
2020.06.01,0.0
2020.06.02,0.5
2020.06.03,0.6
2020.06.04,0.67
2020.06.05,0.67
2020.06.06,-0.75
2020.06.07,-0.5
2020.06.08,0.0
2020.06.09,-0.6
2020.06.10,-1.0
2020.06.11,0.0
2020.06.12,0.57
2020.06.13,1.0
2020.06.14,-0.33
2020.06.15,1.0
2020.06.16,-0.33
2020.06.17,-0.17
2020.06.18,-0.17
2020.06.19,0.25
2020.06.20,0.0
2020.06.21,0.0
2020.06.22,0.25
2020.06.23,0.33
2020.06.24,-0.6
2020.06.25,0.0
2020.06.26,0.0
2020.06.27,-1.0
2020.06.28,-0.67
2020.06.29,0.17
2020.06.30,-0.33
2020.07.01,-0.17
2020.07.02,-0.25
2020.07.03,-0.5
2020.07.04,0.5
2020.07.05,1.0
2020.07.06,0.0
2020.07.07,-0.29
2020.07.08,-0.8
2020.07.09,-0.25
2020.07.10,0.8
2020.07.11,-0.67
2020.07.12,0.67
2020.07.13,-0.17
2020.07.14,-0.33
2020.07.15,-0.29
2020.07.16,0.2
2020.07.17,0.2
2020.07.18,0.0
2020.07.19,0.0
2020.07.20,0.71
2020.07.21,-0.4
2020.07.22,-1.0
2020.07.23,0.33
2020.07.24,0.0
2020.07.25,0.67
2020.07.26,0.5
2020.07.27,-0.29
2020.07.28,-0.71
2020.07.29,0.43
2020.07.30,0.0
2020.07.31,1.0
2020.08.01,0.5
2020.08.02,1.0
2020.08.03,0.4
2020.08.04,0.86
2020.08.05,0.6
2020.08.06,1.0
2020.08.07,0.2
2020.08.08,0.0
2020.08.09,1.0
2020.08.10,0.0
2020.08.11,1.0
2020.08.12,1.0
2020.08.13,-0.5
2020.08.14,1.0
2020.08.15,1.0
2020.08.16,0.5
2020.08.17,-0.5
2020.08.18,0.75
2020.08.19,0.0
2020.08.20,0.5
2020.08.21,-0.33
2020.08.22,1.0
2020.08.23,0.67
2020.08.24,0.25
2020.08.25,-0.2
2020.08.26,0.0
2020.08.27,0.71
2020.08.28,-0.5
2020.08.29,1.0
2020.08.30,1.0
2020.08.31,0.43
2020.09.01,-0.5
2020.09.02,-0.29
2020.09.03,0.75
2020.09.04,-1.0
2020.09.05,0.67
2020.09.06,0.0
2020.09.07,0.4
2020.09.08,0.25
2020.09.09,-0.25
2020.09.10,1.0
2020.09.11,0.5
2020.09.12,0.5
2020.09.13,0.5
2020.09.14,0.67
2020.09.15,-0.33
2020.09.16,-0.5
2020.09.17,-0.6
2020.09.18,-0.6
2020.09.19,0.33
2020.09.20,0.5
2020.09.21,-0.2
2020.09.22,1.0
2020.09.23,0.25
2020.09.24,-0.25
2020.09.25,0.0
2020.09.26,1.0
2020.09.27,1.0
2020.09.28,0.25
2020.09.29,0.57
2020.09.30,-0.5
2020.10.01,0.5
2020.10.02,-0.5
2020.10.03,0.5
2020.10.04,-0.33
2020.10.05,0.0
2020.10.06,-0.75
2020.10.07,-0.4
2020.10.08,0.0
2020.10.09,1.0
2020.10.10,0.0
2020.10.11,-1.0
2020.10.12,0.0
2020.10.13,1.0
2020.10.14,1.0
2020.10.15,-0.25
2020.10.16,-0.25
2020.10.17,0.33
2020.10.18,-1.0
2020.10.19,-0.2
2020.10.20,0.75
2020.10.21,-0.5
2020.10.22,-0.57
2020.10.23,1.0
2020.10.24,1.0
2020.10.25,1.0
2020.10.26,0.6
2020.10.27,-0.17
2020.10.28,0.33
2020.10.29,-0.2
2020.10.30,0.29
2020.10.31,0.67
2020.11.01,0.5
2020.11.02,1.0
2020.11.03,0.8
2020.11.04,0.75
2020.11.05,0.5
2020.11.06,0.56
2020.11.07,-0.25
2020.11.08,1.0
2020.11.09,-1.0
2020.11.10,1.0
2020.11.11,0.8
2020.11.12,0.33
2020.11.13,1.0
2020.11.14,0.0
2020.11.15,0.0
2020.11.16,0.0
2020.11.17,0.89
2020.11.18,0.25
2020.11.19,0.5
2020.11.20,1.0
2020.11.21,0.33
2020.11.22,0.5
2020.11.23,0.14
2020.11.24,0.5
2020.11.25,0.33
2020.11.26,0.67
2020.11.27,-0.5
2020.11.28,1.0
2020.11.29,1.0
2020.11.30,0.25
2020.12.01,0.33
2020.12.02,1.0
2020.12.03,0.0
2020.12.04,0.5
2020.12.05,1.0
2020.12.06,1.0
2020.12.07,0.5
2020.12.08,1.0
2020.12.09,1.0
2020.12.10,0.33
2020.12.11,-0.5
2020.12.12,0.25
2020.12.13,0.67
2020.12.14,1.0
2020.12.15,1.0
2020.12.16,0.0
2020.12.17,1.0
2020.12.18,0.33
2020.12.19,0.0
2020.12.20,1.0
2020.12.21,0.0
2020.12.22,0.33
2020.12.23,0.2
2020.12.24,-0.33
2020.12.25,0.33
2020.12.26,0.0
2020.12.27,1.0
2020.12.28,0.71
2020.12.29,0.33
2020.12.30,0.5
2020.12.31,-1.0
2021.01.01,1.0
2021.01.02,0.0
2021.01.03,1.0
2021.01.04,1.0
2021.01.05,0.67
2021.01.06,0.0
2021.01.07,-0.67
2021.01.08,-0.67
2021.01.09,-0.33
2021.01.10,-1.0
2021.01.11,0.0
2021.01.12,0.75
2021.01.13,0.75
2021.01.14,0.2
2021.01.15,1.0
2021.01.16,0.5
2021.01.17,0.0
2021.01.18,1.0
2021.01.19,1.0
2021.01.20,0.33
2021.01.21,0.0
2021.01.22,0.67
2021.01.23,0.67
2021.01.24,0.0
2021.01.25,1.0
2021.01.26,0.5
2021.01.27,-0.33
2021.01.28,-0.25
2021.01.29,0.0
2021.01.30,0.0
2021.01.31,0.0
2021.02.01,0.67
2021.02.02,0.0
2021.02.03,0.6
2021.02.04,0.0
2021.02.05,0.0
2021.02.06,1.0
2021.02.07,-1.0
2021.02.08,-0.5
2021.02.09,0.0
2021.02.10,0.6
2021.02.11,1.0
2021.02.12,0.0
2021.02.13,1.0
2021.02.14,1.0
2021.02.15,0.0
2021.02.16,-0.5
2021.02.17,0.0
2021.02.18,1.0
2021.02.19,0.0
2021.02.20,0.0
2021.02.21,0.0
2021.02.22,0.67
2021.02.23,0.67
2021.02.24,0.5
2021.02.25,0.75
2021.02.26,1.0
2021.02.27,1.0
2021.02.28,0.0
2021.03.01,1.0
2021.03.02,0.75
2021.03.03,0.0
2021.03.04,0.33
2021.03.05,1.0
2021.03.06,0.0
2021.03.07,1.0
2021.03.08,0.83
2021.03.09,0.0
2021.03.10,0.67
2021.03.11,0.0
2021.03.12,1.0
2021.03.13,0.0
2021.03.14,0.0
2021.03.15,0.0
2021.03.16,0.33
2021.03.17,0.25
2021.03.18,0.2
2021.03.19,0.0
2021.03.20,1.0
2021.03.21,1.0
2021.03.22,1.0
2021.03.23,1.0
2021.03.24,0.8
2021.03.25,1.0
2021.03.26,0.43
2021.03.27,0.0
2021.03.28,1.0
2021.03.29,-0.25
2021.03.30,0.67
2021.03.31,1.0
2021.04.01,-0.33
2021.04.02,0.0
2021.04.03,0.0
2021.04.04,0.0
2021.04.05,1.0
2021.04.06,0.4
2021.04.07,-1.0
2021.04.08,0.33
2021.04.09,0.25
2021.04.10,1.0
2021.04.11,1.0
2021.04.12,0.67
2021.04.13,0.0
2021.04.14,0.67
2021.04.15,0.67
2021.04.16,1.0
2021.04.17,0.33
2021.04.18,1.0
2021.04.19,0.5
2021.04.20,0.75
2021.04.21,0.2
2021.04.22,-0.67
2021.04.23,0.0
2021.04.24,1.0
2021.04.25,0.0
2021.04.26,0.25
2021.04.27,0.6
2021.04.28,0.0
2021.04.29,-0.2
2021.04.30,-0.5
2021.05.01,0.5
2021.05.02,0.5
2021.05.03,0.75
2021.05.04,0.33
2021.05.05,0.33
2021.05.06,0.5
2021.05.07,1.0
2021.05.08,1.0
2021.05.09,1.0
2021.05.10,0.57
2021.05.11,0.5
2021.05.12,1.0
2021.05.13,0.4
2021.05.14,0.12
2021.05.15,1.0
2021.05.16,1.0
2021.05.17,0.4
2021.05.18,0.2
2021.05.19,1.0
2021.05.20,0.8
2021.05.21,1.0
2021.05.22,1.0
2021.05.23,1.0
2021.05.24,0.43
2021.05.25,0.0
2021.05.26,0.4
2021.05.27,-0.12
2021.05.28,0.4
2021.05.29,1.0
2021.05.30,1.0
2021.05.31,0.0
2021.06.01,0.2
2021.06.02,1.0
2021.06.03,-0.33
2021.06.04,-0.5
2021.06.05,0.67
2021.06.06,1.0
2021.06.07,1.0
2021.06.08,0.33
2021.06.09,0.33
2021.06.10,0.8
2021.06.11,1.0
2021.06.12,0.5
2021.06.13,0.0
2021.06.14,1.0
2021.06.15,1.0
2021.06.16,0.5
2021.06.17,1.0
2021.06.18,0.2
2021.06.19,0.0
2021.06.20,0.0
2021.06.21,0.67
2021.06.22,0.58
2021.06.23,1.0
2021.06.24,1.0
2021.06.25,0.6
2021.06.26,0.0
2021.06.27,1.0
2021.06.28,-0.25
2021.06.29,0.4
2021.06.30,0.5
2021.07.01,0.5
2021.07.02,1.0
2021.07.03,-1.0
2021.07.04,0.0
2021.07.05,0.29
2021.07.06,0.2
2021.07.07,0.8
2021.07.08,1.0
2021.07.09,0.86
2021.07.10,1.0
2021.07.11,1.0
2021.07.12,1.0
2021.07.13,0.4
2021.07.14,0.5
2021.07.15,0.75
2021.07.16,1.0
2021.07.17,1.0
2021.07.18,0.5
2021.07.19,1.0
2021.07.20,0.75
2021.07.21,0.33
2021.07.22,0.75
2021.07.23,0.25
2021.07.24,0.25
2021.07.25,0.0
2021.07.26,-0.33
2021.07.27,0.67
2021.07.28,-1.0
2021.07.29,-0.75
2021.07.30,0.29
2021.07.31,0.0
2021.08.01,0.0
2021.08.02,0.25
2021.08.03,-0.33
2021.08.04,-0.33
2021.08.05,-0.5
2021.08.06,0.0
2021.08.07,-0.33
2021.08.08,-0.33
2021.08.09,1.0
2021.08.10,0.4
2021.08.11,0.0
2021.08.12,0.33
2021.08.13,0.4
2021.08.14,0.0
2021.08.15,-1.0
2021.08.16,0.5
2021.08.17,0.6
2021.08.18,0.11
2021.08.19,0.17
2021.08.20,0.71
2021.08.21,0.0
2021.08.22,0.0
2021.08.23,0.0
2021.08.24,0.43
2021.08.25,0.2
2021.08.26,-0.5
2021.08.27,-0.2
2021.08.28,0.0
2021.08.29,-1.0
2021.08.30,-0.33
2021.08.31,-0.5
2021.09.01,-0.25
2021.09.02,0.0
2021.09.03,-0.11
2021.09.04,0.0
2021.09.05,0.5
2021.09.06,0.38
2021.09.07,0.33
2021.09.08,0.2
2021.09.09,-0.4
2021.09.10,0.29
2021.09.11,0.0
2021.09.12,-0.5
2021.09.13,0.0
2021.09.14,0.75
2021.09.15,0.25
2021.09.16,0.5
2021.09.17,-0.5
2021.09.18,0.33
2021.09.19,0.67
2021.09.20,0.33
2021.09.21,1.0
2021.09.22,0.8
2021.09.23,1.0
2021.09.24,0.8
2021.09.25,0.4
2021.09.26,1.0
2021.09.27,0.75
2021.09.28,0.67
2021.09.29,0.33
2021.09.30,0.5
2021.10.01,1.0
2021.10.02,0.67
2021.10.03,0.0
2021.10.04,1.0
2021.10.05,1.0
2021.10.06,0.4
2021.10.07,0.67
2021.10.08,0.0
2021.10.09,0.25
2021.10.10,0.0
2021.10.11,0.67
2021.10.12,1.0
2021.10.13,1.0
2021.10.14,-0.25
2021.10.15,0.0
2021.10.16,0.2
2021.10.17,0.0
2021.10.18,0.8
2021.10.19,0.67
2021.10.20,0.25
2021.10.21,0.57
2021.10.22,0.2
2021.10.23,0.0
2021.10.24,1.0
2021.10.25,1.0
2021.10.26,0.6
2021.10.27,0.62
2021.10.28,0.8
2021.10.29,1.0
2021.10.30,0.75
2021.10.31,0.5
2021.11.01,0.5
2021.11.02,0.75
2021.11.03,0.42
2021.11.04,0.18
2021.11.05,0.43
2021.11.06,0.25
2021.11.07,0.75
2021.11.08,0.07
2021.11.09,0.55
2021.11.10,0.38
2021.11.11,0.25
2021.11.12,0.7
2021.11.13,0.75
2021.11.14,-0.5
2021.11.15,0.25
2021.11.16,0.83
2021.11.17,0.8
2021.11.18,0.65
2021.11.19,0.36
2021.11.20,0.92
2021.11.21,0.83
2021.11.22,0.4
2021.11.23,0.54
2021.11.24,0.62
2021.11.25,0.38
2021.11.26,0.91
2021.11.27,0.67
2021.11.28,0.8
2021.11.29,0.4
2021.11.30,0.18
2021.12.01,0.57
2021.12.02,0.36
2021.12.03,0.16
2021.12.04,0.5
2021.12.05,0.25
2021.12.06,0.0
2021.12.07,0.0
2021.12.08,-0.06
2021.12.09,0.74
2021.12.10,0.06
2021.12.11,0.75
2021.12.12,1.0
2021.12.13,0.31
2021.12.14,0.0
2021.12.15,0.08
2021.12.16,0.62
2021.12.17,0.53
2021.12.18,0.89
2021.12.19,0.33
2021.12.20,0.22
2021.12.21,0.1
2021.12.22,0.0
2021.12.23,0.82
2021.12.24,0.57
2021.12.25,0.5
2021.12.26,0.33
2021.12.27,0.29
2021.12.28,0.12
2021.12.29,0.09
2021.12.30,-0.1
2021.12.31,0.5
2022.01.01,0.11
2022.01.02,1.0
2022.01.03,0.67
2022.01.04,0.4
2022.01.05,-0.04
2022.01.06,-0.06
2022.01.07,0.64
2022.01.08,0.6
2022.01.09,0.0
2022.01.10,0.5
2022.01.11,0.38
2022.01.12,0.5
2022.01.13,0.0
2022.01.14,0.18
2022.01.15,0.25
2022.01.16,0.17
2022.01.17,0.58
2022.01.18,0.44
2022.01.19,0.4
2022.01.20,0.41
2022.01.21,0.13
2022.01.22,-0.22
2022.01.23,0.67
2022.01.24,0.14
2022.01.25,0.55
2022.01.26,-0.25
2022.01.27,-0.04
2022.01.28,0.0
2022.01.29,0.56
2022.01.30,0.0
2022.01.31,0.0
2022.02.01,0.0
2022.02.02,-1.0
2022.02.03,-0.5
2022.02.04,0.85
2022.02.05,0.5
2022.02.06,0.75
2022.02.07,0.62
2022.02.08,0.43
2022.02.09,0.2
2022.02.10,0.06
2022.02.11,0.5
2022.02.12,0.5
2022.02.13,0.33
2022.02.14,0.73
2022.02.15,0.33
2022.02.16,0.0
2022.02.17,0.35
2022.02.18,-0.07
2022.02.19,0.0
2022.02.20,0.0
2022.02.21,-0.06
2022.02.22,-0.3
2022.02.23,0.33
2022.02.24,0.39
2022.02.25,0.62
2022.02.26,-0.43
2022.02.27,0.0
2022.02.28,0.21
2022.03.01,0.47
2022.03.02,0.4
2022.03.03,0.22
2022.03.04,0.0
2022.03.05,0.0
2022.03.06,0.0
2022.03.07,0.08
2022.03.08,0.69
2022.03.09,0.78
2022.03.10,0.0
2022.03.11,0.4
2022.03.12,0.14
2022.03.13,0.0
2022.03.14,-0.06
2022.03.15,0.0
2022.03.16,-0.19
2022.03.17,0.19
2022.03.18,0.5
2022.03.19,-0.17
2022.03.20,1.0
2022.03.21,0.0
2022.03.22,-0.12
2022.03.23,0.38
2022.03.24,0.69
2022.03.25,0.29
2022.03.26,0.33
2022.03.27,1.0
2022.03.28,0.12
2022.03.29,0.0
2022.03.30,-0.04
2022.03.31,0.38
2022.04.01,0.56
2022.04.02,0.36
2022.04.03,0.0
2022.04.04,0.21
2022.04.05,0.07
2022.04.06,0.48
2022.04.07,0.29
2022.04.08,0.69
2022.04.09,-0.2
2022.04.10,0.75
2022.04.11,0.19
2022.04.12,0.56
2022.04.13,0.57
2022.04.14,0.45
2022.04.15,0.25
2022.04.16,0.44
2022.04.17,0.8
2022.04.18,0.2
2022.04.19,0.16
2022.04.20,0.06
2022.04.21,0.35
2022.04.22,0.31
2022.04.23,0.64
2022.04.24,1.0
2022.04.25,0.3
2022.04.26,0.15
2022.04.27,0.15
2022.04.28,-0.21
2022.04.29,0.4
2022.04.30,0.0
2022.05.01,0.0
2022.05.02,0.29
2022.05.03,-0.06
2022.05.04,0.0
2022.05.05,0.17
2022.05.06,0.25
2022.05.07,0.0
2022.05.08,0.0
2022.05.09,0.3
2022.05.10,0.4
2022.05.11,0.44
2022.05.12,0.06
2022.05.13,0.44
2022.05.14,0.8
2022.05.15,-0.5
2022.05.16,0.33
2022.05.17,0.18
2022.05.18,0.31
2022.05.19,0.43
2022.05.20,0.06
2022.05.21,0.0
2022.05.22,0.67
2022.05.23,0.11
2022.05.24,-0.33
2022.05.25,0.22
2022.05.26,0.27
2022.05.27,0.17
2022.05.28,0.0
2022.05.29,0.0
2022.05.30,0.45
2022.05.31,0.38
2022.06.01,0.17
2022.06.02,0.08
2022.06.03,0.44
2022.06.04,0.17
2022.06.05,-0.67
2022.06.06,0.14
2022.06.07,-0.08
2022.06.08,0.17
2022.06.09,-0.59
2022.06.10,-0.42
2022.06.11,-0.33
2022.06.12,-0.67
2022.06.13,-0.05
2022.06.14,0.29
2022.06.15,0.31
2022.06.16,0.22
2022.06.17,-0.15
2022.06.18,0.25
2022.06.19,1.0
2022.06.20,0.12
2022.06.21,0.37
2022.06.22,0.17
2022.06.23,-0.07
2022.06.24,0.06
2022.06.25,0.5
2022.06.26,1.0
2022.06.27,-0.2
2022.06.28,0.6
2022.06.29,0.32
2022.06.30,0.12
2022.07.01,0.31
2022.07.02,-0.25
2022.07.03,-0.5
2022.07.04,0.0
2022.07.05,0.4
2022.07.06,0.33
2022.07.07,0.15
2022.07.08,-1.0
2022.07.09,-0.71
2022.07.10,-1.0
2022.07.11,-0.82
2022.07.12,-0.33
2022.07.13,-0.3
2022.07.14,0.14
2022.07.15,-0.38
2022.07.16,-0.43
2022.07.17,0.0
2022.07.18,-0.26
2022.07.19,-0.08
2022.07.20,0.09
2022.07.21,0.47
2022.07.22,0.06
2022.07.23,0.38
2022.07.24,0.33
2022.07.25,-0.19
2022.07.26,-0.07
2022.07.27,0.07
2022.07.28,0.17
2022.07.29,-0.08
2022.07.30,0.27
2022.07.31,0.14
2022.08.01,0.0
2022.08.02,-0.15
2022.08.03,-0.12
2022.08.04,0.43
2022.08.05,0.4
2022.08.06,0.69
2022.08.07,0.25
2022.08.08,0.28
2022.08.09,0.25
2022.08.10,0.16
2022.08.11,0.48
2022.08.12,0.43
2022.08.13,0.07
2022.08.14,0.0
2022.08.15,0.14
2022.08.16,-0.07
2022.08.17,0.1
2022.08.18,0.12
2022.08.19,0.09
2022.08.20,0.42
2022.08.21,-0.25
2022.08.22,0.41
2022.08.23,-0.03
2022.08.24,0.1
2022.08.25,0.11
2022.08.26,0.57
2022.08.27,0.56
2022.08.28,0.83
2022.08.29,0.24
2022.08.30,0.12
2022.08.31,0.17
2022.09.01,0.5
2022.09.02,0.29
2022.09.03,-0.38
2022.09.04,-0.33
2022.09.05,-0.08
2022.09.06,-0.23
2022.09.07,-0.08
2022.09.08,0.16
2022.09.09,-0.07
2022.09.10,0.0
2022.09.11,0.0
2022.09.12,0.35
2022.09.13,0.03
2022.09.14,-0.44
2022.09.15,-0.07
2022.09.16,0.21
2022.09.17,-0.09
2022.09.18,0.0
2022.09.19,0.0
2022.09.20,-0.14
2022.09.21,0.23
2022.09.22,-0.26
2022.09.23,0.44
2022.09.24,0.44
2022.09.25,0.0
2022.09.26,-0.11
2022.09.27,-0.21
2022.09.28,0.04
2022.09.29,0.16
2022.09.30,0.1
2022.10.01,-0.25
2022.10.02,0.0
2022.10.03,0.09
2022.10.04,0.4
2022.10.05,-0.23
2022.10.06,-0.44
2022.10.07,0.0
2022.10.08,0.25
2022.10.09,-1.0
2022.10.10,-0.14
2022.10.11,-0.36
2022.10.12,0.23
2022.10.13,0.0
2022.10.14,-0.23
2022.10.15,0.67
2022.10.16,0.0
2022.10.17,0.14
2022.10.18,-0.33
2022.10.19,0.44
2022.10.20,0.0
2022.10.21,-0.29
2022.10.22,0.14
2022.10.23,0.75
2022.10.24,0.31
2022.10.25,0.45
2022.10.26,0.09
2022.10.27,0.16
2022.10.28,0.43
2022.10.29,0.33
2022.10.30,0.25
2022.10.31,0.0
2022.11.01,0.35
2022.11.02,0.11
2022.11.03,-0.23
2022.11.04,0.07
2022.11.05,-0.29
2022.11.06,0.0
2022.11.07,-0.17
2022.11.08,0.0
2022.11.09,0.0
2022.11.10,0.29
2022.11.11,-0.11
2022.11.12,0.25
2022.11.13,0.25
2022.11.14,-0.09
2022.11.15,0.26
2022.11.16,0.27
2022.11.17,-0.17
2022.11.18,0.3
